file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,支払先,支払先,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,摘要,,,,,,,,,,,,,
,,,1,日本モウルド工業(株),日本モウルド工業(株),令3.11.10,令4.4.10,青森銀行,板柳支店,1069200,,,,,,,,,,,,,,
,,,2,〃,〃,令3.12.10,令4.5.10,〃,,1043460,,,,,,,,,,,,,,
,,,3,,,令4.1.10,令4.6.10,〃,,1000000,,,,,,,,,,,,,,
,,,4,,,令4.1.10,令4.6.10,〃,,46232,,,,,,,,,,,,,,
,,,5,,,令4.2.10,令4.7.10,〃,,661925,,,,,,,,,,,,,,
,,,6,DMノバフォーム(株),DMノバフォーム(株),令4.1.10,令4.4.25,〃,,2000000,,,,,,,,,,,,,,
,,,7,〃,〃,令4.1.10,令4.4.25,〃,,1333979,,,,,,,,,,,,,,
,,,8,,,令4.2.10,令4.5.25,〃,,1608970,,,,,,,,,,,,,,
,,,9,,,令4.3.10,令4.6.25,〃,,1649670,,,,,,,,,,,,,,
,,,10,立川ピン製作所,立川ピン製作所,令4.3.2,令4.5.31,〃,,581900,,,,,,,,,,,,,,
,,,11,計,計,,,,,52544144,,,,,,,,,,,,,,
