file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,支払先,支払先,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,摘要,,,,,,,,,,,,,
,,,1,(株)コバヤシ,(株)コバヤシ,令4.12.10,令5.4.30,青森,板柳,5000000,,,,,,,,,,,,,,
,,,2,〃,〃,令4.12.10,令5.4.30,〃,,772673,,,,,,,,,,,,,,
,,,3,,,令5.1.10,令5.5.31,〃,,5000000,,,,,,,,,,,,,,
,,,4,,,令5.1.10,令5.5.31,〃,,2120844,,,,,,,,,,,,,,
,,,5,〃,〃,令5.2.10,令5.6.30,〃,,4924202,,,,,,,,,,,,,,
,,,6,〃,〃,令5.3.10,令5.7.31,〃,,5000000,,,,,,,,,,,,,,
,,,7,,,令5.3.10,令5.7.31,〃,,1920659,,,,,,,,,,,,,,
,,,8,森羽紙業(株),森羽紙業(株),令5.1.10,令5.4.30,〃,,4108402,,,,,,,,,,,,,,
,,,9,〃,〃,令5.2.10,令5.5.31,〃,,4699334,,,,,,,,,,,,,,
,,,10,,,令5.3.10,令5.6.30,〃,,3000000,,,,,,,,,,,,,,
,,,11,,,令5.3.10,令5.6.30,〃,,149625,,,,,,,,,,,,,,
,,,12,ホクト化学工業(株),ホクト化学工業(株),令5.1.10,令5.4.30,〃,,10000000,,,,,,,,,,,,,,
,,,13,〃,〃,令5.1.10,令5.4.30,〃,,3728702,,,,,,,,,,,,,,
,,,14,,,令5.2.10,令5.5.31,〃,,1328155,,,,,,,,,,,,,,
,,,15,(株)トーモク,(株)トーモク,令4.10.24,令5.4.20,〃,,757377,,,,,,,,,,,,,,
,,,16,〃,〃,令4.11.21,令5.5.20,〃,,1148503,,,,,,,,,,,,,,
,,,17,,,令4.12.26,令5.6.20,〃,,1152951,,,,,,,,,,,,,,
,,,18,,,令5.1.27,令5.7.20,〃,,1555811,,,,,,,,,,,,,,
,,,19,,,令5.2.22,令5.8.20,〃,,581155,,,,,,,,,,,,,,
,,,20,,,令5.3.28,令5.9.20,〃,,362595,,,,,,,,,,,,,,
,,,21,DMノバフォーム,DMノバフォーム,令5.1.10,令5.4.25,〃,,2621784,,,,,,,,,,,,,,
,,,22,〃,〃,令5.2.10,令5.5.25,〃,,2313806,,,,,,,,,,,,,,
,,,23,,,令5.3.10,令5.6.25,〃,,2493150,,,,,,,,,,,,,,
,,,24,計,計,,,,,,,,,,,,,,,,,,,
