ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250724123103480,1,1,001,003001,202507,,,兵庫管公学生服(株),兵庫管公学生服(株),2776,30,30,20,5.7.7,5.7.7,5.10.10,5.10.10,三菱UFJ,三菱UFJ,,姫路,姫路,,,中国本店,中国本店,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250724123103480,1,2,001,003001,202507,,,株式会社丸幸,株式会社丸幸,2777,30,30,20,5.5.31,5.5.31,5.8.31,5.8.31,埼玉りそな,埼玉りそな,,坂戸,坂戸,,,三井住友岡山,三井住友岡山,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250724123103480,1,3,001,003001,202507,,,株式会社丸幸,株式会社丸幸,2777,30,30,20,5.6.30,5.6.30,5.9.30,5.9.30,埼玉りそな,埼玉りそな,,坂戸,坂戸,,,山陰合同岡山,山陰合同岡山,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250724123103480,1,4,001,003001,202507,,,株式会社丸幸,株式会社丸幸,2777,30,30,20,5.7.31,5.7.31,5.10.31,5.10.31,埼玉りそな,埼玉りそな,,坂戸,坂戸,,,三菱UFJ岡山駅前,三菱UFJ岡山駅前,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250724123103480,1,5,001,003001,202507,,,山耕株式会社,山耕株式会社,2778,30,30,20,5.4.10,5.4.10,5.8.2,5.8.2,福井,福井,,武生,武生,,,商工中金岡山,商工中金岡山,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250724123103480,1,6,001,003001,202507,,,山耕株式会社,山耕株式会社,2778,30,30,20,5.5.10,5.5.10,5.9.4,5.9.4,福井,福井,,武生,武生,,,商工中金岡山,商工中金岡山,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250724123103480,1,7,001,003001,202507,,,山耕株式会社,山耕株式会社,2778,30,30,20,5.6.12,5.6.12,5.10.2,5.10.2,福井,福井,,武生,武生,,,山陰合同岡山,山陰合同岡山,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250724123103480,1,8,001,003001,202507,,,山耕株式会社,山耕株式会社,2778,30,30,20,5.7.10,5.7.10,5.11.5,5.11.5,福井,福井,,武生,武生,,,中国本店,中国本店,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250724123103480,1,9,001,003001,202507,,,山耕株式会社,山耕株式会社,2778,30,30,20,5.7.10,5.7.10,5.11.5,5.11.5,福井,福井,,武生,武生,,,中国本店,中国本店,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250724123103480,1,10,001,003001,202507,,,豊国商事(株),豊国商事(株),2779,30,30,20,5.5.8,5.5.8,5.8.31,5.8.31,滋賀,滋賀,,長浜,長浜,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
20250724123103480,1,11,001,003001,202507,,,豊国商事(株),豊国商事(株),2779,30,30,20,5.6.6,5.6.6,5.9.30,5.9.30,滋賀,滋賀,,長浜,長浜,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,11,,,testuser
20250724123103480,1,12,001,003001,202507,,,豊国商事(株),豊国商事(株),2779,30,30,20,5.7.10,5.7.10,5.10.31,5.10.31,滋賀,滋賀,,長浜,長浜,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,12,,,testuser
