ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250723171502980,1,1,001,000306,202507,,,熊毛生コンクリート(株),熊毛生コンクリート(株),2607,30,30,20,4.12.20,4.12.20,5.4.20,5.4.20,鹿児島相互信用金庫,鹿児島相互信用金庫,,本店,本店,518678,518678,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250723171502980,1,2,001,000306,202507,,,熊毛生コンクリート(株),熊毛生コンクリート(株),2607,30,30,20,4.12.20,4.12.20,5.4.20,5.4.20,鹿児島相互信用金庫,鹿児島相互信用金庫,,本店,本店,2693502,2693502,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250723171502980,1,3,001,000306,202507,,,熊毛生コンクリート(株),熊毛生コンクリート(株),2607,30,30,20,5.1.20,5.1.20,5.4.20,5.4.20,鹿児島相互信用金庫,鹿児島相互信用金庫,,本店,本店,10000000,10000000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250723171502980,1,4,001,000306,202507,,,熊毛生コンクリート(株),熊毛生コンクリート(株),2607,30,30,20,5.1.20,5.1.20,5.4.20,5.4.20,鹿児島相互信用金庫,鹿児島相互信用金庫,,本店,本店,4866280,4866280,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250723171502980,1,5,001,000306,202507,,,熊毛生コンクリート(株),熊毛生コンクリート(株),2607,30,30,20,5.1.20,5.1.20,5.5.20,5.5.20,鹿児島相互信用金庫,鹿児島相互信用金庫,,本店,本店,1480907,1480907,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250723171502980,1,6,001,000306,202507,,,熊毛生コンクリート(株),熊毛生コンクリート(株),2607,30,30,20,5.1.20,5.1.20,5.5.20,5.5.20,鹿児島相互信用金庫,鹿児島相互信用金庫,,本店,本店,3510757,3510757,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250723171502980,1,7,001,000306,202507,,,熊毛生コンクリート(株),熊毛生コンクリート(株),2607,30,30,20,5.2.20,5.2.20,5.6.20,5.6.20,鹿児島相互信用金庫,鹿児島相互信用金庫,,本店,本店,2693657,2693657,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250723171502980,1,8,001,000306,202507,,,熊毛生コンクリート(株),熊毛生コンクリート(株),2607,30,30,20,5.3.20,5.3.20,5.6.20,5.6.20,鹿児島相互信用金庫,鹿児島相互信用金庫,,本店,本店,10000000,10000000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250723171502980,1,9,001,000306,202507,,,熊毛生コンクリート(株),熊毛生コンクリート(株),2607,30,30,20,5.3.20,5.3.20,5.6.20,5.6.20,鹿児島相互信用金庫,鹿児島相互信用金庫,,本店,本店,5000000,5000000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250723171502980,1,10,001,000306,202507,,,熊毛生コンクリート(株),熊毛生コンクリート(株),2607,30,30,20,5.3.20,5.3.20,5.6.20,5.6.20,鹿児島相互信用金庫,鹿児島相互信用金庫,,本店,本店,433000,433000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
