ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250723085600820,1,1,001,000086,202507,,,井口産業(株),井口産業(株),2785,30,30,20,令4・11・30,令4・11・30,令5・3・31,令5・3・31,商工中金押上,商工中金押上,,,,680322,680322,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250723085600820,1,2,001,000086,202507,,,井口産業(株),井口産業(株),2785,30,30,20,令4・12・28,令4・12・28,令5・4・30,令5・4・30,商工中金押上,商工中金押上,,,,1139043,1139043,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250723085600820,1,3,001,000086,202507,,,井口産業(株),井口産業(株),2785,30,30,20,令5・1・31,令5・1・31,令5・5・31,令5・5・31,商工中金押上,商工中金押上,,,,1200365,1200365,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250723085600820,1,4,001,000086,202507,,,井口産業(株),井口産業(株),2785,30,30,20,令5・2・28,令5・2・28,令5・6・30,令5・6・30,商工中金押上,商工中金押上,,,,1171842,1171842,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250723085600820,1,5,001,000086,202507,,,加籐鉄鋼(株),加籐鉄鋼(株),2786,30,30,20,令4・12・28,令4・12・28,令5・3・31,令5・3・31,三井住友錦糸町,三井住友錦糸町,,,,2369407,2369407,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250723085600820,1,6,001,000086,202507,,,加藤鉄鋼(株),加藤鉄鋼(株),2787,30,30,20,令5・2・28,令5・2・28,令5・5・31,令5・5・31,三井住友錦糸町,三井住友錦糸町,,,,307839,307839,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250723085600820,1,7,001,000086,202507,,,(株)アイテック,(株)アイテック,2788,30,30,20,令4・12・20,令4・12・20,令5・3・10,令5・3・10,スルガ沼津青野,スルガ沼津青野,,,,959706,959706,,,,(有)静岡ハウス製作所,(有)静岡ハウス製作所,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250723085600820,1,8,001,000086,202507,,,(株)アイテック,(株)アイテック,2788,30,30,20,令4・12・20,令4・12・20,令5・3・20,令5・3・20,北國七尾,北國七尾,,,,2838237,2838237,,,,(株)近藤鉄工建設,(株)近藤鉄工建設,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250723085600820,1,9,001,000086,202507,,,(株)アイテック,(株)アイテック,2788,30,30,20,令5・2・28,令5・2・28,令5・5・31,令5・5・31,三菱UFJ蟹江,三菱UFJ蟹江,,,,225131,225131,,,,(株)エムエムアイ,(株)エムエムアイ,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250723085600820,1,10,001,000086,202507,,,(株)角彦,(株)角彦,2789,30,30,20,令4・11・30,令4・11・30,令5・4・1,令5・4・1,商工中金押上,商工中金押上,,,,202464,202464,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
