ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250724112700500,1,1,001,000052,202507,,,トーヨーマテリア(株),トーヨーマテリア(株),2631,30,30,20,5.2.27,5.2.27,5.6.5,5.6.5,りそな銀行,りそな銀行,,虎ノ門支店,虎ノ門支店,,19041320,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250724112700500,1,2,001,000052,202507,,,トーヨーマテリア(株),トーヨーマテリア(株),2631,30,30,20,5.3.15,5.3.15,5.6.25,5.6.25,りそな銀行,りそな銀行,,虎ノ門支店,虎ノ門支店,,1961960,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250724112700500,1,3,001,000052,202507,,,トーヨーマテリア(株),トーヨーマテリア(株),2631,30,30,20,5.3.27,5.3.27,5.7.5,5.7.5,りそな銀行,りそな銀行,,虎ノ門支店,虎ノ門支店,,6169994,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250724112700500,1,4,001,000052,202507,,,トーヨーマテリア(株),トーヨーマテリア(株),2631,30,30,20,5.4.17,5.4.17,5.7.25,5.7.25,りそな銀行,りそな銀行,,虎ノ門支店,虎ノ門支店,,2241162,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250724112700500,1,5,001,000052,202507,,,トーヨーマテリア(株),トーヨーマテリア(株),2631,30,30,20,5.4.25,5.4.25,5.8.5,5.8.5,りそな銀行,りそな銀行,,虎ノ門支店,虎ノ門支店,,16955088,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250724112700500,1,6,001,000052,202507,,,トーヨーマテリア(株),トーヨーマテリア(株),2631,30,30,20,5.5.15,5.5.15,5.8.25,5.8.25,りそな銀行,りそな銀行,,虎ノ門支店,虎ノ門支店,,2188340,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250724112700500,1,7,001,000052,202507,,,トーヨーマテリア(株),トーヨーマテリア(株),2631,30,30,20,5.5.25,5.5.25,5.9.5,5.9.5,りそな銀行,りそな銀行,,虎ノ門支店,虎ノ門支店,,14137176,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250724112700500,1,8,001,000052,202507,,,新日本ホームズ(株),新日本ホームズ(株),2632,30,30,20,5.3.29,5.3.29,5.6.30,5.6.30,福岡銀行,福岡銀行,,折尾支店,折尾支店,,5000000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250724112700500,1,9,001,000052,202507,,,新日本ホームズ(株),新日本ホームズ(株),2632,30,30,20,5.3.29,5.3.29,5.6.30,5.6.30,福岡銀行,福岡銀行,,折尾支店,折尾支店,,5000000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250724112700500,1,10,001,000052,202507,,,新日本ホームズ(株),新日本ホームズ(株),2632,30,30,20,5.3.29,5.3.29,5.6.30,5.6.30,福岡銀行,福岡銀行,,折尾支店,折尾支店,,2906850,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
20250724112700500,1,11,001,000052,202507,,,新日本ホームズ(株),新日本ホームズ(株),2632,30,30,20,5.4.28,5.4.28,5.7.31,5.7.31,福岡銀行,福岡銀行,,折尾支店,折尾支店,,5000000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,11,,,testuser
20250724112700500,1,12,001,000052,202507,,,新日本ホームズ(株),新日本ホームズ(株),2632,30,30,20,5.4.28,5.4.28,5.7.31,5.7.31,福岡銀行,福岡銀行,,折尾支店,折尾支店,,5000000,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,12,,,testuser
