file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,電子記録債権,電子記録債権,潮産業(株),札幌市中央区南7条西16丁目1-20,3660401,,,,,,,,,,,,,,,,
,,,2,〃,〃,(株)サンユー,札幌市北区北9条西3丁目10-1,2840512,,,,,,,,,,,,,,,,
,,,3,〃,〃,(株)村田塗料店,札幌市北区新川西2条1丁目1-14,2582679,,,,,,,,,,,,,,,,
,,,4,〃,〃,北日本産商(株),札幌市東区東雁来4条1丁目1-40,2026090,,,,,,,,,,,,,,,,
,,,5,〃,〃,(株)丹波屋,札幌市白石区菊水元町9条2丁目3-13,1393327,,,,,,,,,,,,,,,,
,,,6,〃,〃,三洋工業(株),東京都目黒区山1丁目1-2,1085270,,,,,,,,,,,,,,,,
,,,7,〃,〃,(株)クツザワ工業,札幌市白石区中央2条7丁目1-1,747560,,,,,,,,,,,,,,,,
,,,8,〃,〃,(株)ニヘイ,札幌市西区宮の沢1条1丁目1-30,509531,,,,,,,,,,,,,,,,
,,,9,〃,〃,西尾木材(株),札幌市白石区菊水2条1丁目2-5,507727,,,,,,,,,,,,,,,,
,,,10,〃,〃,橋本総業(株),札幌市白石区中央3条3丁目1-1,450920,,,,,,,,,,,,,,,,
,,,11,〃,〃,(株)ヤマチコーポレーション,札幌市中央区北1条西10丁目1-17,135482,,,,,,,,,,,,,,,,
,,,12,,,,電子記録債権計,65020977,,,,,,,,,,,,,,,,
,,,13,未収入金,未収入金,アイカ工業(株),札幌市白石区東札幌3条1丁目2-22,1423670,リベート,,,,,,,,,,,,,,,
,,,14,〃,〃,(有)エスケー商会,滝川市緑町4丁目1-40,433120,滝川MS4月分家賃,,,,,,,,,,,,,,,
,,,15,〃,〃,SMB建材(株),札幌市中央区大通西8-2,113425,リベート,,,,,,,,,,,,,,,
,,,16,〃,〃,高島(株),札幌市中央区北一条西4-1-2,26736,リベート,,,,,,,,,,,,,,,
,,,17,,,,未収入金計,1996951,,,,,,,,,,,,,,,,
,,,18,破産債権等,破産債権等,エスビーエス(株),千葉県柏市西原2丁目4-1,4775071,,,,,,,,,,,,,,,,
,,,19,,,,破産債権等計,4775071,,,,,,,,,,,,,,,,
,,,20,計,計,,,217702387,,,,,,,,,,,,,,,,
