file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,ビーライト,幕別町札内新北町10-3,12193410,,,,,,,,,,,,,,,,
,,,2,〃,〃,ノブタ農機(株),帯広市昭和町基線107-15,4695361,,,,,,,,,,,,,,,,
,,,3,〃,〃,長谷機械商事(株),札幌市東区北20条東20丁目,2331347,,,,,,,,,,,,,,,,
,,,4,〃,〃,十勝農機(株),芽室町西8条8丁目2番地,1621675,,,,,,,,,,,,,,,,
,,,5,〃,〃,ホクレン肥料(株),芽室町基線12-1,2714833,,,,,,,,,,,,,,,,
,,,6,〃,〃,日農機製工(株),足寄町郊南1丁目13番地,8089642,,,,,,,,,,,,,,,,
,,,7,〃,〃,(株)ヴィエッチ,札幌市白石区中央3条4丁目4-3,2527585,,,,,,,,,,,,,,,,
,,,8,〃,〃,粟井鋼商事(株),大阪府大阪市中央区安堂寺町2丁目5-15,2295181,,,,,,,,,,,,,,,,
,,,9,〃,〃,エムエスケー農業機械(株),芽室町東芽室基線5-3,2521948,,,,,,,,,,,,,,,,
,,,10,〃,〃,サカエ農機(株),音更町字東和西4線47番,898942,,,,,,,,,,,,,,,,
,,,11,〃,〃,(株)ロールクリエイト,芽室町芽室基線19-1,1892902,,,,,,,,,,,,,,,,
,,,12,〃,〃,その他,,12657109,,,,,,,,,,,,,,,,
,,,13,,,,売掛金計,54439935,,,,,,,,,,,,,,,,
,,,14,未収入金,未収入金,弘進ゴム(株)他,,3356,販売リベート,,,,,,,,,,,,,,,
,,,15,,,,未収入金計,3356,,,,,,,,,,,,,,,,
,,,16,計,計,,,54443291,,,,,,,,,,,,,,,,
