file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,マグ・イゾベール(株),札幌市西区発寒15条12丁目2-25,124300,,,,,,,,,,,,,,,,
,,,2,〃,〃,(株)丸昇八田,札幌市豊平区福住3条8丁目15-22,123055,,,,,,,,,,,,,,,,
,,,3,〃,〃,(株)中野銘木店,旭川市永山北1条8丁目37-1,116259,,,,,,,,,,,,,,,,
,,,4,〃,〃,(株)カナモリ商事,札幌市手稲区新発寒6条3丁目2-18,114103,,,,,,,,,,,,,,,,
,,,5,〃,〃,橋本総業(株),札幌市白石区中央3条3丁目1-1,111926,,,,,,,,,,,,,,,,
,,,6,〃,〃,双日建材(株),札幌市中央区北1条西5丁目2-9,106095,,,,,,,,,,,,,,,,
,,,7,〃,〃,大丸総合建材(株),札幌市西区発寒6条8丁目6-22,104584,,,,,,,,,,,,,,,,
,,,8,〃,〃,(株)三洋工業北海道システム,札幌市白石区米里3条2丁目7-1,102476,,,,,,,,,,,,,,,,
,,,9,〃,〃,(株)ビルドワークス札幌,札幌市白石区菊水6条2丁目6-22,102146,,,,,,,,,,,,,,,,
,,,10,〃,〃,(株)ユタニ北海道,札幌市東区本町2条3丁目6-11,101729,,,,,,,,,,,,,,,,
,,,11,〃,〃,北海道アサヒ販売(株),札幌市豊平区中の島1条7丁目10-20,90200,,,,,,,,,,,,,,,,
,,,12,〃,〃,(株)創栄ホーム,札幌市東区北44条東6丁目1-6,84715,,,,,,,,,,,,,,,,
,,,13,〃,〃,北長金日米建材(株),札幌市東区北丘珠4条3丁目12-1,80784,,,,,,,,,,,,,,,,
,,,14,〃,〃,(株)函館新成建材,函館市西桔梗町587-18,76252,,,,,,,,,,,,,,,,
,,,15,〃,〃,フラット合成(株),札幌市東区東雁来6条2丁目5-25,69553,,,,,,,,,,,,,,,,
,,,16,〃,〃,(有)杉澤金物,札幌市東区北36条東6丁目1-7,68156,,,,,,,,,,,,,,,,
,,,17,〃,〃,コーユー創建(株),札幌市中央区南16条西10丁目1-1,51865,,,,,,,,,,,,,,,,
,,,18,〃,〃,(有)レノンルームプラン,札幌市清田区平岡公園東1丁目12-16,50221,,,,,,,,,,,,,,,,
,,,19,〃,〃,(株)太平ホーム北海道,札幌市厚別区下野幌テクノパーク2丁目6-6,49753,,,,,,,,,,,,,,,,
,,,20,〃,〃,KAMANA WOODWORK,札幌市手稲区稲穂3条6丁目5-7,47509,,,,,,,,,,,,,,,,
,,,21,〃,〃,(株)ヤマチコーポレーション,札幌市中央区北1条西10丁目1-17,47306,,,,,,,,,,,,,,,,
,,,22,〃,〃,北海道西濃運輸(株),札幌市白石区川下2165-1,46640,,,,,,,,,,,,,,,,
,,,23,〃,〃,(有)三立木工,札幌市東区丘珠町503-119,41250,,,,,,,,,,,,,,,,
,,,24,〃,〃,(株)松原木材店,札幌市西区発寒6条7丁目4-3,40952,,,,,,,,,,,,,,,,
,,,25,〃,〃,ジャパン建材(株),札幌市白石区中央1条2丁目1-34,40074,,,,,,,,,,,,,,,,
,,,26,〃,〃,(株)オオサコ機工,札幌市清田区真栄4条4丁目7-15,38335,,,,,,,,,,,,,,,,
,,,27,計,計,,,,,,,,,,,,,,,,,,,
