file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(株)三友社,千代田区飯田橋3-3-11-2,532070,,,,,,,,,,,,,,,,
,,,2,〃,〃,(株)シーフォース,千代田区神田小川町3-9-4,411678,,,,,,,,,,,,,,,,
,,,3,〃,〃,(株)共進ペイパー&パッケージ,千葉県花見川区犢橋1616,378477,,,,,,,,,,,,,,,,
,,,4,〃,〃,岩城印刷(株),板橋区板橋1-12-9,372020,,,,,,,,,,,,,,,,
,,,5,〃,〃,岩岡印刷工業(株),入間郡三芳町北永井宮前157-3,312812,,,,,,,,,,,,,,,,
,,,6,〃,〃,山浦印刷(株),文京区関口1-39-10,312400,,,,,,,,,,,,,,,,
,,,7,〃,〃,(株)平河工業社,新宿区新小川町3-9,263560,,,,,,,,,,,,,,,,
,,,8,〃,〃,泰美堂印刷(株),戸田市美女木4-5-8,190960,,,,,,,,,,,,,,,,
,,,9,〃,〃,新灯用刷(株),新宿区水道町2-15,145200,,,,,,,,,,,,,,,,
,,,10,〃,〃,(株)丸康商店,戸田市新曽南4-5-26,137731,,,,,,,,,,,,,,,,
,,,11,〃,〃,一誠堂印刷(株),文京区大塚3-14-5,135300,,,,,,,,,,,,,,,,
,,,12,〃,〃,(株)フォレスト,千代田区飯田橋4-5-13,107800,,,,,,,,,,,,,,,,
,,,13,〃,〃,大日本印刷(株),新宿区市谷加賀町1-1-1,100320,,,,,,,,,,,,,,,,
,,,14,〃,〃,タカックス(株),北区東十条1-6-15,96800,,,,,,,,,,,,,,,,
,,,15,〃,〃,大和紙料(株),戸田南美女木8-12-2,95018,,,,,,,,,,,,,,,,
,,,16,〃,〃,(株)丸三房印刷,千葉県松戸市中根長津町157,71500,,,,,,,,,,,,,,,,
,,,17,〃,〃,三美印刷(株),荒川区西日暮里5-9-8,67100,,,,,,,,,,,,,,,,
,,,18,〃,〃,(株)歩プロセス,千代田区一ツ橋2-4-4岩波書店一ツ橋別館2F,63140,,,,,,,,,,,,,,,,
,,,19,〃,〃,(株)東洋社,文京区白山3-1-13,1,備忘価額,,,,,,,,,,,,,,,
,,,20,〃,〃,(有)ウェーブ紙工,所沢市南永井245,1,〃,,,,,,,,,,,,,,,
,,,21,〃,〃,その他,,7796929,-,,,,,,,,,,,,,,,
,,,22,計,計,,,97125507,,,,,,,,,,,,,,,,
