file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(株)エーステック,江別市元野幌1146-4,1726560,,,,,,,,,,,,,,,,
,,,2,〃,〃,(株)ハウジング高橋,札幌市白石区菊水元町2条5丁目3-21,1718275,,,,,,,,,,,,,,,,
,,,3,〃,〃,札幌軸受工具(株),札幌市東区伏古4条2丁目1-2,1709797,,,,,,,,,,,,,,,,
,,,4,〃,〃,(株)三五工務店,札幌市北区北34条西10丁目6-21,1466898,,,,,,,,,,,,,,,,
,,,5,〃,〃,R&Iカンパニーリミテッド(株),札幌市中央区南20条西8丁目2-24,1430823,,,,,,,,,,,,,,,,
,,,6,〃,〃,エスビーエス(株),千葉県柏市西原2-4-1,1383456,,,,,,,,,,,,,,,,
,,,7,〃,〃,(株)マツウラ,札幌市白石区菊水9条4丁目3-22,1309117,,,,,,,,,,,,,,,,
,,,8,〃,〃,ホクセイ商事(株),千歳市北斗6丁目6-13,1302516,,,,,,,,,,,,,,,,
,,,9,〃,〃,(株)ウッディークラフト,釧路郡釧路町曙1丁目2-10,1206172,,,,,,,,,,,,,,,,
,,,10,〃,〃,おうちライフ(株),札幌市東区伏古12条2丁目14-30,1178421,,,,,,,,,,,,,,,,
,,,11,〃,〃,(株)イチムラ,札幌市清田区真栄648-5,1081571,,,,,,,,,,,,,,,,
,,,12,〃,〃,北晃建材(株),苫小牧市柳町1丁目5-7,1080222,,,,,,,,,,,,,,,,
,,,13,〃,〃,(株)太平ホーム北海道,札幌市西区発寒8条5-3-5,942912,,,,,,,,,,,,,,,,
,,,14,〃,〃,(有)吉田住建,札幌市北区新川4条5丁目4-17,920499,,,,,,,,,,,,,,,,
,,,15,〃,〃,(株)リノア,札幌市清田区真栄4条3丁目10-25,915335,,,,,,,,,,,,,,,,
,,,16,〃,〃,(株)ニヘイ,札幌市西区宮の沢1条1丁目1-30,890837,,,,,,,,,,,,,,,,
,,,17,〃,〃,(株)カイトー商会,釧路市昭和南4-25-17,821513,,,,,,,,,,,,,,,,
,,,18,〃,〃,(株)ライトアーム,札幌市東区東雁来10条2丁目5-5,798070,,,,,,,,,,,,,,,,
,,,19,〃,〃,西尾木材(株),札幌市白石区菊水2条1丁目2-5,783643,,,,,,,,,,,,,,,,
,,,20,〃,〃,末永設備,石狩市花川南3条1丁目62,774788,,,,,,,,,,,,,,,,
,,,21,〃,〃,(有)ビルダー石井,札幌市南区藤野5条8丁目13-27,768477,,,,,,,,,,,,,,,,
,,,22,〃,〃,(有)エスアイ,旭川市新富2条2丁目3-13,724174,,,,,,,,,,,,,,,,
,,,23,〃,〃,(株)丸昇八田,札幌市豊平区福住3条8丁目15-22,723888,,,,,,,,,,,,,,,,
,,,24,〃,〃,泰平建材(株),札幌市東区東苗穂5条2丁目6-21,698496,,,,,,,,,,,,,,,,
,,,25,〃,〃,(株)丸真北斗興業,札幌市中央区北1条西17丁目1-54,656293,,,,,,,,,,,,,,,,
,,,26,〃,〃,(株)モリチュウ,札幌市白石区北郷3条2-1-3,636396,,,,,,,,,,,,,,,,
,,,27,計,計,,,,,,,,,,,,,,,,,,,
