file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,タイガーグローバル株式会社,沖縄県うるま市勝連南風原5194-37,511290000,,,,,,,,,,,,,,,,
,,,2,売掛金,売掛金,株式会社アイアット,沖縄県島尻郡南風原町照屋92-1F,32168906,,,,,,,,,,,,,,,,
,,,3,売掛金,売掛金,株式会社ツルシン産業,京都府京田辺市大住内山43-1,28209170,,,,,,,,,,,,,,,,
,,,4,売掛金,売掛金,盛虎ジャパン(株)(一輝(株)/(有)清和工,沖縄県那覇市安謝2丁目4番7号,26100672,,,,,,,,,,,,,,,,
,,,5,売掛金,売掛金,新協地水株式会社,福島県郡山市上伊豆島1丁目27番地,25118247,,,,,,,,,,,,,,,,
,,,6,売掛金,売掛金,盛虎ジャパン(株)オムニ技研(株),沖縄県那覇市安謝2丁目4番7号,23304531,,,,,,,,,,,,,,,,
,,,7,売掛金,売掛金,丸井産業(株)生産本部,広島県広島市西区商工センター1-1-46,22350250,,,,,,,,,,,,,,,,
,,,8,売掛金,売掛金,盛虎ジャパン(株)((株)RCdesig,沖縄県那覇市安謝2丁目4番7号,20317550,,,,,,,,,,,,,,,,
,,,9,売掛金,売掛金,株式会社ツルシン産業(沖縄),沖縄県中頭郡中城村当間575,16668697,,,,,,,,,,,,,,,,
,,,10,売掛金,売掛金,津梁産業合同会社・関東,沖縄県うるま市江洲263ドミールNⅢ1-B,13357564,,,,,,,,,,,,,,,,
,,,11,売掛金,売掛金,有限会社石川保安商会,泊縄県うるま市石川赤崎1-2-25,13144113,,,,,,,,,,,,,,,,
,,,12,売掛金,売掛金,合同会社Fast,沖縄県八重瀬町字後原358-15,12763490,,,,,,,,,,,,,,,,
,,,13,売掛金,売掛金,盛虎ジャパン(株)((株)サムシング関東),沖縄県那覇市安謝2丁目4番7号,12568327,,,,,,,,,,,,,,,,
,,,14,売掛金,売掛金,有限会社あさひ,沖縄県宮古島市平良字西里583,12339038,,,,,,,,,,,,,,,,
,,,15,売掛金,売掛金,有限会社ハードセンター,沖縄県沖縄市泡瀬4-21-3,12195702,,,,,,,,,,,,,,,,
,,,16,売掛金,売掛金,株式会社丸髙商事,沖縄県石垣市新川143,11688774,,,,,,,,,,,,,,,,
,,,17,売掛金,売掛金,ニッシン株式会社,沖縄県糸満市西崎町5-13-6,11680693,,,,,,,,,,,,,,,,
,,,18,売掛金,売掛金,伊藤忠丸紅特殊鋼(株)関西支社,大阪府大阪市北区中之島二丁目3番18号,11628122,,,,,,,,,,,,,,,,
,,,19,売掛金,売掛金,盛虎ジャパン(株)((株)ゼン基業),泊縄県那覇市安謝2丁目4番7号,11617805,,,,,,,,,,,,,,,,
,,,20,売掛金,売掛金,有限会社サポートホールド(ハットウイン,神奈川県横浜市瀬谷区阿久和南2-35-9,11500735,,,,,,,,,,,,,,,,
,,,21,売掛金,売掛金,ビー・ゼイ工事株式会社,沖縄県那覇市前島2-14-18,11139508,,,,,,,,,,,,,,,,
,,,22,売掛金,売掛金,宜野座軽天,沖縄県糸満市字新垣14,10507531,,,,,,,,,,,,,,,,
,,,23,売掛金,売掛金,盛虎ジャパン(株)東昇技建(株)・関東,沖縄県那覇市安謝2丁目4番7号,9986534,,,,,,,,,,,,,,,,
,,,24,売掛金,売掛金,大城産業株式会社,沖縄県浦添市宮城2-16-13,9520696,,,,,,,,,,,,,,,,
,,,25,売掛金,売掛金,株式会社とみや商会,沖縄県宮古島市平良字荷川取311番地,9293814,,,,,,,,,,,,,,,,
,,,26,売掛金,売掛金,ヨシキテック株式会社(ケンマパイル),東京都杉並区上井草2-35-122F,9196000,,,,,,,,,,,,,,,,
,,,27,計,計,,,,,,,,,,,,,,,,,,,
