ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,755197,202507,科目,科目,,名称(氏名),名称(氏名),所在地(住所),所在地(住所),,,期末現在高,期末現在高,摘要,摘要,,
,,2,000,755197,202507,売掛金,売掛金,,タイガーグローバル株式会社,タイガーグローバル株式会社,沖縄県うるま市勝連南風原5194-37,沖縄県うるま市勝連南風原5194-37,,,511290000,511290000,,,,
,,3,000,755197,202507,売掛金,売掛金,,株式会社アイアット,株式会社アイアット,沖縄県島尻郡南風原町照屋92-1F,沖縄県島尻郡南風原町照屋92-1F,,,32168906,32168906,,,,
,,4,000,755197,202507,売掛金,売掛金,,株式会社ツルシン産業,株式会社ツルシン産業,京都府京田辺市大住内山43-1,京都府京田辺市大住内山43-1,,,28209170,28209170,,,,
,,5,000,755197,202507,売掛金,売掛金,,盛虎ジャパン(株)(一輝(株)/(有)清和工,盛虎ジャパン(株)(一輝(株)/(有)清和工,沖縄県那覇市安謝2丁目4番7号,沖縄県那覇市安謝2丁目4番7号,,,26100672,26100672,,,,
,,6,000,755197,202507,売掛金,売掛金,,新協地水株式会社,新協地水株式会社,福島県郡山市上伊豆島1丁目27番地,福島県郡山市上伊豆島1丁目27番地,,,25118247,25118247,,,,
,,7,000,755197,202507,売掛金,売掛金,,盛虎ジャパン(株)オムニ技研(株),盛虎ジャパン(株)オムニ技研(株),沖縄県那覇市安謝2丁目4番7号,沖縄県那覇市安謝2丁目4番7号,,,23304531,23304531,,,,
,,8,000,755197,202507,売掛金,売掛金,,丸井産業(株)生産本部,丸井産業(株)生産本部,広島県広島市西区商工センター1-1-46,広島県広島市西区商工センター1-1-46,,,22350250,22350250,,,,
,,9,000,755197,202507,売掛金,売掛金,,盛虎ジャパン(株)((株)RCdesig,盛虎ジャパン(株)((株)RCdesig,沖縄県那覇市安謝2丁目4番7号,沖縄県那覇市安謝2丁目4番7号,,,20317550,20317550,,,,
,,10,000,755197,202507,売掛金,売掛金,,株式会社ツルシン産業(沖縄),株式会社ツルシン産業(沖縄),沖縄県中頭郡中城村当間575,沖縄県中頭郡中城村当間575,,,16668697,16668697,,,,
,,11,000,755197,202507,売掛金,売掛金,,津梁産業合同会社・関東,津梁産業合同会社・関東,沖縄県うるま市江洲263ドミールNⅢ1-B,沖縄県うるま市江洲263ドミールNⅢ1-B,,,13357564,13357564,,,,
,,12,000,755197,202507,売掛金,売掛金,,有限会社石川保安商会,有限会社石川保安商会,泊縄県うるま市石川赤崎1-2-25,泊縄県うるま市石川赤崎1-2-25,,,13144113,13144113,,,,
,,13,000,755197,202507,売掛金,売掛金,,合同会社Fast,合同会社Fast,沖縄県八重瀬町字後原358-15,沖縄県八重瀬町字後原358-15,,,12763490,12763490,,,,
,,14,000,755197,202507,売掛金,売掛金,,盛虎ジャパン(株)((株)サムシング関東),盛虎ジャパン(株)((株)サムシング関東),沖縄県那覇市安謝2丁目4番7号,沖縄県那覇市安謝2丁目4番7号,,,12568327,12568327,,,,
,,15,000,755197,202507,売掛金,売掛金,,有限会社あさひ,有限会社あさひ,沖縄県宮古島市平良字西里583,沖縄県宮古島市平良字西里583,,,12339038,12339038,,,,
,,16,000,755197,202507,売掛金,売掛金,,有限会社ハードセンター,有限会社ハードセンター,沖縄県沖縄市泡瀬4-21-3,沖縄県沖縄市泡瀬4-21-3,,,12195702,12195702,,,,
,,17,000,755197,202507,売掛金,売掛金,,株式会社丸髙商事,株式会社丸髙商事,沖縄県石垣市新川143,沖縄県石垣市新川143,,,11688774,11688774,,,,
,,18,000,755197,202507,売掛金,売掛金,,ニッシン株式会社,ニッシン株式会社,沖縄県糸満市西崎町5-13-6,沖縄県糸満市西崎町5-13-6,,,11680693,11680693,,,,
,,19,000,755197,202507,売掛金,売掛金,,伊藤忠丸紅特殊鋼(株)関西支社,伊藤忠丸紅特殊鋼(株)関西支社,大阪府大阪市北区中之島二丁目3番18号,大阪府大阪市北区中之島二丁目3番18号,,,11628122,11628122,,,,
,,20,000,755197,202507,売掛金,売掛金,,盛虎ジャパン(株)((株)ゼン基業),盛虎ジャパン(株)((株)ゼン基業),泊縄県那覇市安謝2丁目4番7号,泊縄県那覇市安謝2丁目4番7号,,,11617805,11617805,,,,
,,21,000,755197,202507,売掛金,売掛金,,有限会社サポートホールド(ハットウイン,有限会社サポートホールド(ハットウイン,神奈川県横浜市瀬谷区阿久和南2-35-9,神奈川県横浜市瀬谷区阿久和南2-35-9,,,11500735,11500735,,,,
,,22,000,755197,202507,売掛金,売掛金,,ビー・ゼイ工事株式会社,ビー・ゼイ工事株式会社,沖縄県那覇市前島2-14-18,沖縄県那覇市前島2-14-18,,,11139508,11139508,,,,
,,23,000,755197,202507,売掛金,売掛金,,宜野座軽天,宜野座軽天,沖縄県糸満市字新垣14,沖縄県糸満市字新垣14,,,10507531,10507531,,,,
,,24,000,755197,202507,売掛金,売掛金,,盛虎ジャパン(株)東昇技建(株)・関東,盛虎ジャパン(株)東昇技建(株)・関東,沖縄県那覇市安謝2丁目4番7号,沖縄県那覇市安謝2丁目4番7号,,,9986534,9986534,,,,
,,25,000,755197,202507,売掛金,売掛金,,大城産業株式会社,大城産業株式会社,沖縄県浦添市宮城2-16-13,沖縄県浦添市宮城2-16-13,,,9520696,9520696,,,,
,,26,000,755197,202507,売掛金,売掛金,,株式会社とみや商会,株式会社とみや商会,沖縄県宮古島市平良字荷川取311番地,沖縄県宮古島市平良字荷川取311番地,,,9293814,9293814,,,,
,,27,000,755197,202507,売掛金,売掛金,,ヨシキテック株式会社(ケンマパイル),ヨシキテック株式会社(ケンマパイル),東京都杉並区上井草2-35-122F,東京都杉並区上井草2-35-122F,,,9196000,9196000,,,,
,,28,000,755197,202507,計,計,,,,,,,,,,,,,
