file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(株)沖縄県物産公社,沖縄県那覇市字小録1831番地1沖縄産業支援センター7階,661944,,,,,,,,,,,,,,,,
,,,2,〃,〃,窪田商事,鹿児島県大島郡籠郷町中勝2533,555228,,,,,,,,,,,,,,,,
,,,3,〃,〃,(株)トーホーマーケティング本部関西常温物流,大阪府枚方市南中振3-2-27,543504,,,,,,,,,,,,,,,,
,,,4,〃,〃,その他,,3933093,50万円未満,,,,,,,,,,,,,,,
,,,5,,,売掛金計,,1123218569,,,,,,,,,,,,,,,,
,,,6,未収入金,未収入金,アサヒオリオン飲料,沖縄県浦添市字城間1985-1オリオン会館4F,44970707,仕入値引き,,,,,,,,,,,,,,,
,,,7,〃,〃,サントリーフーズ(沖縄ペプシ),沖縄県宜野湾市大山6-2-18,44813986,仕入値引き,,,,,,,,,,,,,,,
,,,8,〃,〃,(株)TTホールディングス,沖縄県浦添市西洲2-8-3,13001841,貸付金利息,,,,,,,,,,,,,,,
,,,9,〃,〃,UCC,沖縄県浦添市勢理客4-15-1,11802216,仕入値引き,,,,,,,,,,,,,,,
,,,10,〃,〃,AGF,東京都中央区京橋1-15-1,10177865,仕入値引き,,,,,,,,,,,,,,,
,,,11,〃,〃,アサヒビール(株),沖縄県浦添市字城間1985-1オリオン会館4F,9791313,仕入値引き,,,,,,,,,,,,,,,
,,,12,〃,〃,宝酒造(株),福岡県福岡市博多区博多駅前1-15-20,9507937,仕入値引き,,,,,,,,,,,,,,,
,,,13,〃,〃,日清食品(株),沖縄県那覇市泊2-15-9泊エクエアビル5F,5711453,仕入値引き,,,,,,,,,,,,,,,
,,,14,〃,〃,ポッカサッポロ,沖縄県那覇市前島3-1-15大同生命那覇ビル9F,5068229,仕入値引き,,,,,,,,,,,,,,,
,,,15,〃,〃,マルハニチロ,福岡県福岡市博多区博多駅前2-2-1,4241527,仕入値引き,,,,,,,,,,,,,,,
,,,16,〃,〃,ハウス食品(株),沖縄県那覇市天久762-14,3889273,仕入値引き,,,,,,,,,,,,,,,
,,,17,〃,〃,日清製粉ウェルナ(株),,2765904,,,,,,,,,,,,,,,,
,,,18,〃,〃,永谷園,福岡県福岡市博多区博多駅前3-5-7,2708608,仕入値引き,,,,,,,,,,,,,,,
,,,19,〃,〃,(株)久米島の久米仙,沖縄県浦添市港川2-3-3,2426250,仕入値引き,,,,,,,,,,,,,,,
,,,20,〃,〃,イカリソース(株),大阪府大阪市福島区福島3-1-59,2424401,仕入値引き,,,,,,,,,,,,,,,
,,,21,〃,〃,TULIP,沖縄県那覇市久茂地3-1-1ニッセイ那ハビル9F,2316820,仕入値引き,,,,,,,,,,,,,,,
,,,22,〃,〃,サンガリア,,2250590,,,,,,,,,,,,,,,,
,,,23,〃,〃,マルトモ(株),福岡県福岡市博多区那珂5-8-7,2090265,仕入値引き,,,,,,,,,,,,,,,
,,,24,〃,〃,ミツカン,沖縄県那覇市小録3-6-4,1128743,仕入値引き,,,,,,,,,,,,,,,
,,,25,〃,〃,エスエスケイフーズ,静岡県静岡市葵区栄町1-3鈴与静岡ビル3階,1017085,仕入値引き,,,,,,,,,,,,,,,
,,,26,〃,〃,理研ビタミン(株),沖縄県那覇市天久2-20-21,1007398,仕入値引き,,,,,,,,,,,,,,,
,,,27,計,計,,,,,,,,,,,,,,,,,,,
