file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金(外貨),売掛金(外貨),ROBERTSBEAUTY,"9131OakdaleAveSuite110Chatsworth,CA91311",136864518,USD100135000,,,,,,,,,,,,,,,
,,,2,,,CHRISTIANDIOR,"185,AvenuedeVerdun45800SAINTJEANDEBRAVEF",46565517,"USD340,690.06",,,,,,,,,,,,,,,
,,,3,,,LINAGALEINC,"22067FerreroPkwyCityofIndustry,CA91789US",33213240,"USD262,800.00",,,,,,,,,,,,,,,
,,,4,,,ARTDECOCOSMETICGMBH,GAUBSTRABE1385757KARLSFELD,34115328,"USD249,600.00",,,,,,,,,,,,,,,
,,,5,,,COLOURPOPCOSMETICS,"1451VanguardDriveOxnard,CA93033USA",27900015,"USD204,126.54",,,,,,,,,,,,,,,
,,,6,,,LIFEFORD,"73 CHALOEM PHRAKIAT RATC
73CHALOEMPHRAKIATRATCHAKANTHI9ROAD,NONGBON",14214720,"USD104,000.00",,,,,,,,,,,,,,,
,,,7,,,MORPHELLC,"10303NorrisAvePacoima,CA91331UnitedStates",12999361,"USD95,108.00",,,,,,,,,,,,,,,
,,,8,,,SEPHORAFRANCE,"41,rueYbry92576Neuillysur SeineCedex-Franc",11380558,"USD83,264.25",,,,,,,,,,,,,,,
,,,9,,,ASIASKINCOSMETICSCOMPANY,"4F,NO.102,GUANGFUS.RD.,DA'ANDIST.,TAIPEICITY,",4134734,"USD30,251.20",,,,,,,,,,,,,,,
,,,10,,,HOURGLASSCOSMETICS,1241ELECTRICAVENUEVENICECALIFORNIA90291USA,2733600,"USD20,000.00",,,,,,,,,,,,,,,
,,,11,,,"BONJOUR COSMETIC
BONJOURCOSMETICWHOLESALE","12/F,BonjourTower,36-50WangWoTsaiStreet,Tsu",2624256,"USD19,200.00",,,,,,,,,,,,,,,
,,,12,,,ASTRALHEALTH&BEAUTY,"6120POWERSFERRYROADNW,SUITE300ATLANTA,GA3",2214216,"USD16,200.00",,,,,,,,,,,,,,,
,,,13,,,"OFFICECOSMETICSCO.,LTD","XilingIndustrialPark,JiaheWanggangBaiyunDis",2043366,"USD14,950.00",,,,,,,,,,,,,,,
,,,14,,,ICBINNOVATIVECOSMETICBRANDSG,GAUBSTRABE1385757KARLSFELD,1161780,"USD8,500.00",,,,,,,,,,,,,,,
,,,15,,,KISSPRODUCTSINC.,25HarborParkDrivePort WashingtonNY11050,397221,"USD2,906.21",,,,,,,,,,,,,,,
,,,16,,,売掛金(外貨)計,,644746819,,,,,,,,,,,,,,,,
,,,17,未収入金,未収入金,(株)コスメデック・アイ,東京都台東区三筋2-20-8,10013833,未収利息他,,,,,,,,,,,,,,,
,,,18,,,(株)カティグレイス,東京都台東区三筋2-20-10,3820000,未収家賃,,,,,,,,,,,,,,,
,,,19,,,その他,,119701,,,,,,,,,,,,,,,,
,,,20,,,未収入金計,,13953534,,,,,,,,,,,,,,,,
,,,21,計,計,計,,1248201770,,,,,,,,,,,,,,,,
