file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(有)リバブルホームサービス,江別市文京台南町24-4,38060,,,,,,,,,,,,,,,,
,,,2,〃,〃,館銘木(株),札幌市白石区川下1179-3,35024,,,,,,,,,,,,,,,,
,,,3,〃,〃,(有)エムファイブ,札幌市東区伏古8条3丁目8-27,33770,,,,,,,,,,,,,,,,
,,,4,〃,〃,(株)イチムラ,札幌市清田区真栄648-5,29005,,,,,,,,,,,,,,,,
,,,5,〃,〃,(株)三浦建設,江別市角山427番地4,25190,,,,,,,,,,,,,,,,
,,,6,〃,〃,(有)坂庄建設,札幌市豊平区西岡5条11丁目17-25,22729,,,,,,,,,,,,,,,,
,,,7,〃,〃,(有)車体工房札幌,札幌市白石区東米里2028,19822,,,,,,,,,,,,,,,,
,,,8,〃,〃,おうちライフ(株),札幌市東区伏古12条2丁目14-30,19232,,,,,,,,,,,,,,,,
,,,9,〃,〃,寿建設(株),札幌市手稲区前田13条10丁目5-23,16720,,,,,,,,,,,,,,,,
,,,10,〃,〃,三栄住宅流通(株),札幌市豊平区平岸4条9丁目15-15,14850,,,,,,,,,,,,,,,,
,,,11,〃,〃,(有)アクトトーヨー住器,江別市東野幌213-8,14696,,,,,,,,,,,,,,,,
,,,12,〃,〃,(株)札商管材公社,札幌市豊平区豊平1条3丁目1-14,9108,,,,,,,,,,,,,,,,
,,,13,〃,〃,(有)丸泉旗矢金物店,札幌市白石区東札幌6条4丁目,7095,,,,,,,,,,,,,,,,
,,,14,〃,〃,(株)カワバタ札幌営業所,札幌市白石区米里2条4丁目8-35,6930,,,,,,,,,,,,,,,,
,,,15,〃,〃,(株)ノムラ,札幌市白石区流通センター4丁目1-1,6688,,,,,,,,,,,,,,,,
,,,16,〃,〃,(株)ライトアーム,札幌市東区東雁来10条2丁目5-5,6380,,,,,,,,,,,,,,,,
,,,17,〃,〃,(有)拓商,札幌市北区拓北1条3丁目3-23,5995,,,,,,,,,,,,,,,,
,,,18,〃,〃,(株)高建,札幌市清田区真栄3条2丁目15-15,5907,,,,,,,,,,,,,,,,
,,,19,〃,〃,(株)村本金属,札幌市東区北34条東19丁目1-43,3267,,,,,,,,,,,,,,,,
,,,20,〃,〃,サンライズ産商(株),江別市工栄町25-3,1980,,,,,,,,,,,,,,,,
,,,21,〃,〃,(株)豊建商,札幌市白石区菊水2条3丁目1-16,1109,,,,,,,,,,,,,,,,
,,,22,〃,〃,その他現金顧客,,9544515,,,,,,,,,,,,,,,,
,,,23,,,,売掛金計,145909388,,,,,,,,,,,,,,,,
,,,24,電子記録債権,電子記録債権,渡辺パイプ(株)札幌西住設,札幌市西区西野6条9丁目1-1,41110672,,,,,,,,,,,,,,,,
,,,25,〃,〃,(株)札幌山水,札幌市西区八軒9条西5丁目2-12,7970806,,,,,,,,,,,,,,,,
,,,26,計,計,,,,,,,,,,,,,,,,,,,
