file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,有限会社島設備,沖縄県北中城村字喜舎場454-112F,416273,,,,,,,,,,,,,,,,
,,,2,売掛金,売掛金,(株)南光台金物松森支店,宮城県仙台市泉区松森字刺松9-4,413067,,,,,,,,,,,,,,,,
,,,3,売掛金,売掛金,大宮組,沖縄県沖縄市登川2129-1,412848,,,,,,,,,,,,,,,,
,,,4,売掛金,売掛金,三善金物店,沖縄県那覇市小禄118-1,412469,,,,,,,,,,,,,,,,
,,,5,売掛金,売掛金,株式会社メイクマンパワーセンター・ニュ,沖縄県西原町小那覇1565,411937,,,,,,,,,,,,,,,,
,,,6,売掛金,売掛金,有限会社トーワ,沖縄県うるま市字大田147番地1,409431,,,,,,,,,,,,,,,,
,,,7,売掛金,売掛金,株式会社メイクマン(宮古店),泊縄県宮古島市平良字西里1291,408138,,,,,,,,,,,,,,,,
,,,8,売掛金,売掛金,株式会社大嶺建材(名護),沖縄県名護市宇茂佐1966番地の5,402660,,,,,,,,,,,,,,,,
,,,9,売掛金,売掛金,株式会社永濱木材,鹿児島県大島郡徳之島町亀津7322,401876,,,,,,,,,,,,,,,,
,,,10,売掛金,売掛金,総合金物伊礼,沖縄県浦添市仲西3-1-14,400773,,,,,,,,,,,,,,,,
,,,11,売掛金,売掛金,有限会社フロンティアーズ,沖縄県沖縄市字登川828,400761,,,,,,,,,,,,,,,,
,,,12,売掛金,売掛金,丸井産業(株)浜松営業所,静岡県浜松市中央区原島町180-3,399146,,,,,,,,,,,,,,,,
,,,13,売掛金,売掛金,瀬長材木,沖縄県那覇市宇栄原2-5-4,397584,,,,,,,,,,,,,,,,
,,,14,売掛金,売掛金,仲宗根材木店,沖縄県沖縄市嘉間良1-4-56,396726,,,,,,,,,,,,,,,,
,,,15,売掛金,売掛金,(有)大手商事,宮城県名取市大手町6-3-3,396571,,,,,,,,,,,,,,,,
,,,16,売掛金,売掛金,株式会社MK,沖縄県那覇市壷屋2丁目13番20号,396390,,,,,,,,,,,,,,,,
,,,17,売掛金,売掛金,(株)RUC,愛知県豊田市黒坂町奥山1-524,391787,,,,,,,,,,,,,,,,
,,,18,売掛金,売掛金,(株)アークエース札幌支店,札幌市白石区平和通13丁目北3-1,391490,,,,,,,,,,,,,,,,
,,,19,売掛金,売掛金,その他(饒波大悟)(有)川満工務店/恩,,390973,,,,,,,,,,,,,,,,
,,,20,売掛金,売掛金,仲本組,うるま市勝連内間810-1,386667,,,,,,,,,,,,,,,,
,,,21,売掛金,売掛金,タイラ工具(国場),沖縄県那覇市国場1171-14,383081,,,,,,,,,,,,,,,,
,,,22,売掛金,売掛金,沖縄創設株式会社,沖縄県糸満市西崎町4-17-3,382888,,,,,,,,,,,,,,,,
,,,23,売掛金,売掛金,小西産業(株),愛媛県松山市小栗3-2-16-2,382558,,,,,,,,,,,,,,,,
,,,24,売掛金,売掛金,新協地水(株)((株)協伸建材興業),福島県郡山市上伊豆島1丁目27番地,382536,,,,,,,,,,,,,,,,
,,,25,売掛金,売掛金,丸井産業(株)長崎営業所,長崎県長崎市川平町1344-5,379500,,,,,,,,,,,,,,,,
,,,26,売掛金,売掛金,(株)三国仙台営業所,宮城県仙台市宮城野区蒲生5-2-7,376189,,,,,,,,,,,,,,,,
,,,27,計,計,,,,,,,,,,,,,,,,,,,
