file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(有)丸二成田建設,札幌市北区西茨戸7条1丁目4-11,44000,,,,,,,,,,,,,,,,
,,,2,〃,〃,今井金商(株),札幌市中央区南2条西2丁目13,40365,,,,,,,,,,,,,,,,
,,,3,〃,〃,富士見工業(株),札幌市白石区北郷1条8丁目7-29,39820,,,,,,,,,,,,,,,,
,,,4,〃,〃,(株)ノムラ,札幌市白石区流通センター4丁目1-1,37301,,,,,,,,,,,,,,,,
,,,5,〃,〃,(株)遠藤工務店,札幌市白石区中央1条2丁目1-48-603,36773,,,,,,,,,,,,,,,,
,,,6,〃,〃,(株)ソレイユの家,苫小牧市ときわ町2丁目22-11,36366,,,,,,,,,,,,,,,,
,,,7,〃,〃,(株)ツキモク,江別市工栄町25-3,30800,,,,,,,,,,,,,,,,
,,,8,〃,〃,DCMホーマック(株),札幌市厚別区厚別中央3条2丁目1-1,30586,,,,,,,,,,,,,,,,
,,,9,〃,〃,(株)丸幸木材店,札幌市白石区北郷1条1丁目7-7,30470,,,,,,,,,,,,,,,,
,,,10,〃,〃,日本クリエート(株),札幌市白石区菊水上町3条2丁目52,30030,,,,,,,,,,,,,,,,
,,,11,〃,〃,(株)松原木材店,札幌市西区発寒6条7丁目4-3,27720,,,,,,,,,,,,,,,,
,,,12,〃,〃,(株)藤井工務店,札幌市北区新琴似7条17丁目4-3,26132,,,,,,,,,,,,,,,,
,,,13,〃,〃,ジャパン建材(株),札幌市白石区中央1条2丁目1-34,19861,,,,,,,,,,,,,,,,
,,,14,〃,〃,(株)ダイワWood工業,函館市陣川町110-257,15400,,,,,,,,,,,,,,,,
,,,15,〃,〃,(株)札商管材公社,札幌市豊平区豊平1条3丁目1-14,15180,,,,,,,,,,,,,,,,
,,,16,〃,〃,(株)オカモト,石狩市樽川8条1丁目198,14355,,,,,,,,,,,,,,,,
,,,17,〃,〃,(有)車体工房札幌,札幌市白石区東米里2028,11000,,,,,,,,,,,,,,,,
,,,18,〃,〃,ウッドランド札幌ラストメモリー(株),札幌市白石区中央3条2丁目1-12,8800,,,,,,,,,,,,,,,,
,,,19,〃,〃,(有)三立木工,札幌市東区丘珠町503-119,8525,,,,,,,,,,,,,,,,
,,,20,〃,〃,(株)有田電機商会,札幌市北区北21条西5丁目1-13,7024,,,,,,,,,,,,,,,,
,,,21,〃,〃,(株)桐井製作所,札幌市中央区南1条西6丁目,6633,,,,,,,,,,,,,,,,
,,,22,〃,〃,(株)函館新成建材,函館市西桔梗町587-18,5720,,,,,,,,,,,,,,,,
,,,23,〃,〃,(株)ジューテック,札幌市白石区流通センター6-2-5,5445,,,,,,,,,,,,,,,,
,,,24,〃,〃,三栄住宅流通(株),札幌市豊平区平岸4条9丁目15-15,4840,,,,,,,,,,,,,,,,
,,,25,〃,〃,コーユー創建(株),札幌市中央区南16条西10丁目1-1,2750,,,,,,,,,,,,,,,,
,,,26,〃,〃,三上建設(株),札幌市中央区北6条西18丁目1,2569,,,,,,,,,,,,,,,,
,,,27,計,計,,,,,,,,,,,,,,,,,,,
