ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250723085602360,1,1,001,000241,202507,,,20240911150658000	2	1	013	900439	202503	中田建設	中田建設	6950523281	5.3.22	5.3.22	5.6.15	5.6.15	252922	252922								,20240911150658000	2	1	013	900439	202503	中田建設	中田建設	6950523281	5.3.22	5.3.22	5.6.15	5.6.15	252922	252922								,2919,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250723085602360,1,2,001,000241,202507,,,20240911150658000	2	2	013	900439	202503	(株)イズコン広島第一工場	(株)イズコン広島第一工場	3186378673	5.1.19	5.1.19	5.7.21	5.7.21	2214971	2214971								,20240911150658000	2	2	013	900439	202503	(株)イズコン広島第一工場	(株)イズコン広島第一工場	3186378673	5.1.19	5.1.19	5.7.21	5.7.21	2214971	2214971								,2920,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250723085602360,1,3,001,000241,202507,,,20240911150658000	2	3	013	900439	202503	インフラテック(株)岡山工場	インフラテック(株)岡山工場	7601488391	5.1.25	5.1.25	5.7.15	5.7.15	399582	399582								,20240911150658000	2	3	013	900439	202503	インフラテック(株)岡山工場	インフラテック(株)岡山工場	7601488391	5.1.25	5.1.25	5.7.15	5.7.15	399582	399582								,2921,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250723085602360,1,4,001,000241,202507,,,20240911150658000	2	4	013	900439	202503	(株)大之木ダイモ	(株)大之木ダイモ	9041086279	5.1.10	5.1.10	5..6.15	5..6.15	336633	336633								,20240911150658000	2	4	013	900439	202503	(株)大之木ダイモ	(株)大之木ダイモ	9041086279	5.1.10	5.1.10	5..6.15	5..6.15	336633	336633								,2922,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250723085602360,1,5,001,000241,202507,,,20240911150658000	2	5	013	900439	202503	(株)国原組	(株)国原組	7362121948	5.1.20	5.1.20	5.10.31	5.10.31	6500000	6500000								,20240911150658000	2	5	013	900439	202503	(株)国原組	(株)国原組	7362121948	5.1.20	5.1.20	5.10.31	5.10.31	6500000	6500000								,2923,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250723085602360,1,6,001,000241,202507,,,20240911150658000	2	6	013	900439	202503	(株)国光製粉工業所	(株)国光製粉工業所	9577760721	4.12.15	4.12.15	5.10.31	5.10.31	4747050	4747050								,20240911150658000	2	6	013	900439	202503	(株)国光製粉工業所	(株)国光製粉工業所	9577760721	4.12.15	4.12.15	5.10.31	5.10.31	4747050	4747050								,2924,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250723085602360,1,7,001,000241,202507,,,20240911150658000	2	7	013	900439	202503	山陽化学産業(株)	山陽化学産業(株)	9210592256	5.1.24	5.1.24	5.9.30	5.9.30	1158300	1158300								,20240911150658000	2	7	013	900439	202503	山陽化学産業(株)	山陽化学産業(株)	9210592256	5.1.24	5.1.24	5.9.30	5.9.30	1158300	1158300								,2925,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250723085602360,1,8,001,000241,202507,,,20240911150658000	2	8	013	900439	202503	三共製粉(株)	三共製粉(株)	7757461402	5.1.25	5.1.25	5.7.31	5.7.31	520300	520300								,20240911150658000	2	8	013	900439	202503	三共製粉(株)	三共製粉(株)	7757461402	5.1.25	5.1.25	5.7.31	5.7.31	520300	520300								,2926,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250723085602360,1,9,001,000241,202507,,,20240911150658000	2	9	013	900439	202503	昭和鉱業(株)勝光山鉱業所	昭和鉱業(株)勝光山鉱業所	8805117015	5.2.22	5.2.22	5.8.5	5.8.5	1208900	1208900								,20240911150658000	2	9	013	900439	202503	昭和鉱業(株)勝光山鉱業所	昭和鉱業(株)勝光山鉱業所	8805117015	5.2.22	5.2.22	5.8.5	5.8.5	1208900	1208900								,2927,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250723085602360,1,10,001,000241,202507,,,20240911150658000	2	10	013	900439	202503	品川鋼材(株)	品川鋼材(株)	2074418206	5.1.17	5.1.17	5.8.17	5.8.17	1111374	1111374								,20240911150658000	2	10	013	900439	202503	品川鋼材(株)	品川鋼材(株)	2074418206	5.1.17	5.1.17	5.8.17	5.8.17	1111374	1111374								,2928,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
