file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(株)サンヨー堂名古屋,愛知県名古屋市中区,1383351,,,,,,,,,,,,,,,,
,,,2,〃,〃,マルワ食品(株),静岡県磐田市,1375920,,,,,,,,,,,,,,,,
,,,3,〃,〃,(株)日本アクセス仙台,宮城県岩沼市,1347527,,,,,,,,,,,,,,,,
,,,4,〃,〃,丸七商事(株),宮城県仙台市宮城野区日ノ出町1丁目7-30,1333195,,,,,,,,,,,,,,,,
,,,5,〃,〃,(株)サンヨー堂福岡,福岡県福岡市中央区,1312433,,,,,,,,,,,,,,,,
,,,6,〃,〃,(協)エイケイケイ,熊本県熊本市流通団地1-8(株)ハウディ内,1075674,,,,,,,,,,,,,,,,
,,,7,〃,〃,(株)日本アクセス宇都宮,栃木県宇都宮市,1009152,,,,,,,,,,,,,,,,
,,,8,〃,〃,ミヅボ(株),奈良県橿原市中町267,988809,,,,,,,,,,,,,,,,
,,,9,〃,〃,(株)サンヨー堂仙台,宮城県仙台市青葉区,948186,,,,,,,,,,,,,,,,
,,,10,〃,〃,ボーキ佐藤(株)郡山支店,福島県郡山市喜久田町堀之内字向原5-1,938260,,,,,,,,,,,,,,,,
,,,11,〃,〃,(株)大光アミカ事業部,岐阜県安八郡輪之内町,870912,,,,,,,,,,,,,,,,
,,,12,〃,〃,加藤産業(株)九州,福岡県福岡市博多区,864000,,,,,,,,,,,,,,,,
,,,13,〃,〃,コゲツ産業(株),福岡県北九州市小倉北区赤坂海岸3-2,842940,,,,,,,,,,,,,,,,
,,,14,〃,〃,ハウステンボス(株),長崎県佐世保市ハウステンボス町5-3,776874,,,,,,,,,,,,,,,,
,,,15,〃,〃,東亜商事(株),東京都千代田区神田,771955,,,,,,,,,,,,,,,,
,,,16,〃,〃,国分(株)東北,宮城県仙台市宮城野区榴岡5-1-35,752385,,,,,,,,,,,,,,,,
,,,17,〃,〃,池田糖化工業(株),広島県福山市桜馬場町2-28,706860,,,,,,,,,,,,,,,,
,,,18,〃,〃,(株)永尾商店,福岡県久留米市諏訪野町26851,681523,,,,,,,,,,,,,,,,
,,,19,〃,〃,カナカン(株),石川県金沢市,638812,,,,,,,,,,,,,,,,
,,,20,〃,〃,(株)大中,愛知県名古屋市熱田区,632966,,,,,,,,,,,,,,,,
,,,21,〃,〃,(株)長崎出島号,長崎県長崎市田中町,603003,,,,,,,,,,,,,,,,
,,,22,〃,〃,国分(株)九州,福岡県福岡市博多区,561806,,,,,,,,,,,,,,,,
,,,23,〃,〃,国分(株)中国,広島県安芸郡坂町,534182,,,,,,,,,,,,,,,,
,,,24,〃,〃,(株)日本アクセスセブン郡山,福島県本宮市荒井字恵向88,519631,,,,,,,,,,,,,,,,
