file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(株)小林建設,南陽市梨郷605-11,"885,879",,,,,,,,,,,,,,,,
,,,2,同上,同上,設楽建設興業(株),西村山郡西川町大字睦合字沢田2419,"863,225",,,,,,,,,,,,,,,,
,,,3,同上,同上,井上工業(株),寒河江市大字松川字前田120,"853,347",,,,,,,,,,,,,,,,
,,,4,同上,同上,堀川土建(株),上山市矢来4-15-7,"836,000",,,,,,,,,,,,,,,,
,,,5,同上,同上,(株)三瓶工業,天童市石鳥居2-1-141,"801,966",,,,,,,,,,,,,,,,
,,,6,同上,同上,朝日町役場,西村山郡朝日町大字宮宿1115,"751,388",,,,,,,,,,,,,,,,
,,,7,同上,同上,(有)ミナモト,南陽市元中山223-1,"739,900",,,,,,,,,,,,,,,,
,,,8,同上,同上,(株)嶋重機,米沢市信夫町1-22,"730,708",,,,,,,,,,,,,,,,
,,,9,同上,同上,(株)クリーンシステム,山形市飯塚町中河原1629-5,"693,000",,,,,,,,,,,,,,,,
,,,10,同上,同上,(有)庄司林業,西村山郡大江町大字沢口842-12,"677,600",,,,,,,,,,,,,,,,
,,,11,同上,同上,二戸林業,最上郡最上町大字志茂244-33,"670,536",,,,,,,,,,,,,,,,
,,,12,同上,同上,eko商事,酒田市宮野浦1-22-27,"646,381",,,,,,,,,,,,,,,,
,,,13,同上,同上,(株)石川建設,最上郡大蔵村大字南山846-6,"635,184",,,,,,,,,,,,,,,,
,,,14,同上,同上,(有)国分建設,尾花沢市横町2-2-77,"619,256",,,,,,,,,,,,,,,,
,,,15,同上,同上,(株)S.S.S.,東置賜郡川西町大字堀金298,"578,962",,,,,,,,,,,,,,,,
,,,16,同上,同上,升川建設(株),西村山郡河北町谷地甲1083,"564,300",,,,,,,,,,,,,,,,
,,,17,同上,同上,(株)大泉組,西村山郡大江町大字左沢346,"553,883",,,,,,,,,,,,,,,,
,,,18,同上,同上,林建設(株),西村山郡大江町大字左沢328,"543,400",,,,,,,,,,,,,,,,
,,,19,同上,同上,日本航空(株),東京都品川区東品川2-4-11,"533,452",,,,,,,,,,,,,,,,
,,,20,同上,同上,(株)伊藤造園土木,西置賜郡飯豊町椿2529,"532,268",,,,,,,,,,,,,,,,
,,,21,同上,同上,山形自動車工業(有),南陽市長岡561,"525,833",,,,,,,,,,,,,,,,
,,,22,同上,同上,山形陸上運送(株)米沢営業所,米沢市大字川井字道下4890-89,"520,000",,,,,,,,,,,,,,,,
,,,23,同上,同上,(株)山形いすゞ自動車米沢営業所,東置賜郡高畠町糠野目705-1,"519,325",,,,,,,,,,,,,,,,
,,,24,同上,同上,(株)タフライト,東置賜郡高畠町大字二井宿1983,"515,108",,,,,,,,,,,,,,,,
,,,25,同上,同上,星川建設(株),最上郡金山町大字金山1939,"509,718",,,,,,,,,,,,,,,,
,,,26,同上,同上,ヤマザキ建設(株),東置賜郡高畠町大字高畠2136-1,"508,820",,,,,,,,,,,,,,,,
,,,27,合計,合計,,,,,,,,,,,,,,,,,,,
