file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,三菱電機(株)静岡製作所,静岡市駿河区小鹿3-18-1,96026628,,,,,,,,,,,,,,,,
,,,2,同上,同上,足立ライト(株),小牧市下末630,50247206,,,,,,,,,,,,,,,,
,,,3,同上,同上,三菱電機トレーディング(株),静岡市駿河区小鹿3-18-1,30781702,,,,,,,,,,,,,,,,
,,,4,同上,同上,(株)カナデン,東京都中央区晴海1-8-12,15675666,,,,,,,,,,,,,,,,
,,,5,同上,同上,(株)足立ライト工業所,小牧市下末630,14629340,,,,,,,,,,,,,,,,
,,,6,同上,同上,パナソニック(株),東京都港区東新橋1-5-1,10057300,,,,,,,,,,,,,,,,
,,,7,同上,同上,(株)大日光エンジニアリング,日光市根室697-1,7694500,,,,,,,,,,,,,,,,
,,,8,同上,同上,三菱電機エンジニアリング(株),静岡市駿河区小鹿3-18-1,4607830,,,,,,,,,,,,,,,,
,,,9,同上,同上,静菱テクニカ(株),同上,3656188,,,,,,,,,,,,,,,,
,,,10,同上,同上,(株)大都技研,東京都板橋区東坂下1-2-7,1232000,,,,,,,,,,,,,,,,
,,,11,同上,同上,オーエフ電機(株),一宮市伝法寺5-14-14,1024320,,,,,,,,,,,,,,,,
,,,12,同上,同上,三菱電機照明(株)掛川北工場,掛川市淡陽64,892662,,,,,,,,,,,,,,,,
,,,13,同上,同上,明治電機工業(株),知立市山屋敷町板張48-1,853710,,,,,,,,,,,,,,,,
,,,14,同上,同上,(株)井高,知立市上重原町5-1,770000,,,,,,,,,,,,,,,,
,,,15,同上,同上,(株)デンソーウェーブ,知多郡阿久比町草木芳池1,559900,,,,,,,,,,,,,,,,
,,,16,同上,同上,デンソートリム(株),三重郡菰野町大強原赤坂2460,510840,,,,,,,,,,,,,,,,
,,,17,同上,同上,その他,,1524732,,,,,,,,,,,,,,,,
,,,18,計,計,,,240744524,,,,,,,,,,,,,,,,
,,,19,未収入金,未収入金,(独)中小企業基盤整備機構,東京都港区虎ノ門3-5-1,60000000,,,,,,,,,,,,,,,,
,,,20,同上,同上,愛知労働局,名古屋市中区三の丸2-5-1,1566000,,,,,,,,,,,,,,,,
,,,21,同上,同上,(株)ベーシック,磐田市豊田8-1,1248138,,,,,,,,,,,,,,,,
,,,22,同上,同上,(株)アペックス,静岡市駿河区みずほ3-13-13,15132,,,,,,,,,,,,,,,,
,,,23,同上,同上,(株)故紙センタートヨタ,静岡市駿河区豊田3-10-16,7240,,,,,,,,,,,,,,,,
,,,24,同上,同上,その他,,6496,,,,,,,,,,,,,,,,
,,,25,計,計,,,62843006,,,,,,,,,,,,,,,,
,,,26,合計,合計,,,303587530,,,,,,,,,,,,,,,,
