file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,シンコー通商(株),宮城県仙台市宮城野区扇町三丁目10番12号,"58,751,113",,,,,,,,,,,,,,,,
,,,2,売掛金,売掛金,日建工学(株),東京都新宿区西新宿6丁目10番1号,"34,814,450",,,,,,,,,,,,,,,,
,,,3,売掛金,売掛金,(株)T.M.C,山形市瀬波1丁目10-9,"15,806,410",,,,,,,,,,,,,,,,
,,,4,売掛金,売掛金,新興ランデック(株),福島市飯坂町平野43-1,"14,906,733",,,,,,,,,,,,,,,,
,,,5,売掛金,売掛金,新興開発(株),山形県西置賜郡白鷹町大字佐野原,"10,255,345",,,,,,,,,,,,,,,,
,,,6,売掛金,売掛金,山形建設(株),山形市清住町1-2-18,"9,088,772",,,,,,,,,,,,,,,,
,,,7,売掛金,売掛金,山形コンクリート製品工業協同組合,山形市小白川町4-32-7,"9,018,691",,,,,,,,,,,,,,,,
,,,8,売掛金,売掛金,(株)畑山,酒田市亀ケ崎四丁目20-24,"8,201,732",,,,,,,,,,,,,,,,
,,,9,売掛金,売掛金,(株)鈴木工務店,白鷹町鮎貝5783,"6,582,829",,,,,,,,,,,,,,,,
,,,10,売掛金,売掛金,丸吉コンクリート工業(株),白鷹町畔藤9773,"6,577,637",,,,,,,,,,,,,,,,
,,,11,売掛金,売掛金,樋口建設(株),飯豊町大字萩生789,"5,846,192",,,,,,,,,,,,,,,,
,,,12,売掛金,売掛金,(株)大建工業,南陽市漆山1081,"5,647,939",,,,,,,,,,,,,,,,
,,,13,売掛金,売掛金,仙台東商事(株),宮城県仙台市宮城野区萩野町1-11-1萩野町Mビル3階,"5,543,230",,,,,,,,,,,,,,,,
,,,14,売掛金,売掛金,三省水工(株),東京都渋谷区神泉町1-2,"5,229,994",,,,,,,,,,,,,,,,
,,,15,売掛金,売掛金,福島建設(株),高畠町大字高畠697-2,"4,963,875",,,,,,,,,,,,,,,,
,,,16,売掛金,売掛金,(株)黒澤技建,川西町大字下小松2972-2,"3,950,342",,,,,,,,,,,,,,,,
,,,17,売掛金,売掛金,(株)日本都市,千葉県船橋市藤原6-23-3,"3,328,820",,,,,,,,,,,,,,,,
,,,18,売掛金,売掛金,吾妻建設(株),米沢市窪田町小瀬171-1,"2,496,131",,,,,,,,,,,,,,,,
,,,19,売掛金,売掛金,東栄コンクリート工業(株),山形市富神台19,"2,281,213",,,,,,,,,,,,,,,,
,,,20,売掛金,売掛金,山建工業(株),米沢市諸仏町4926-5,"1,740,134",,,,,,,,,,,,,,,,
,,,21,売掛金,売掛金,小笠原建設(株),長井市九野本2217,"1,646,414",,,,,,,,,,,,,,,,
,,,22,売掛金,売掛金,羽黒建設(有),山形市小白川町3丁目2-37,"1,628,627",,,,,,,,,,,,,,,,
,,,23,売掛金,売掛金,(株)アサヒ総建,鶴岡市伊勢横内字畑福112-2,"1,560,141",,,,,,,,,,,,,,,,
,,,24,売掛金,売掛金,村山建設(株),朝日町宮宿190,"1,541,892",,,,,,,,,,,,,,,,
,,,25,売掛金,売掛金,雄健工業,東京都港区芝大門2-1-16,"1,507,000",,,,,,,,,,,,,,,,
,,,26,売掛金,売掛金,(株)竹田組,米沢市窪田町窪田876,"1,489,939",,,,,,,,,,,,,,,,
,,,27,合計,合計,,,,,,,,,,,,,,,,,,,
