file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(株)ヤマゼン,寒河江市大字島宇島東238-3,"2,229,104",,,,,,,,,,,,,,,,
,,,2,同上,同上,(株)イトウ,南陽市元中山2231-1,"2,182,475",,,,,,,,,,,,,,,,
,,,3,同上,同上,水土里ネット富並川伊蔵堰土地改良区,北村山郡大石田町大字横山102,"2,145,000",,,,,,,,,,,,,,,,
,,,4,同上,同上,村山コンポストリサイクルセンター(株),村山市杉島230-6,"2,131,679",,,,,,,,,,,,,,,,
,,,5,同上,同上,山形建設(株),山形市清住町1-2-18,"2,098,800",,,,,,,,,,,,,,,,
,,,6,同上,同上,(株)矢作組,尾花沢市横町2-3-40,"1,980,000",,,,,,,,,,,,,,,,
,,,7,同上,同上,白岩土木建築(株),最上郡金山町大字金山920-6,"1,892,000",,,,,,,,,,,,,,,,
,,,8,同上,同上,ヤマザキ建設(株),東置賜郡高畠町大字高畠2136-1,"1,854,062",,,,,,,,,,,,,,,,
,,,9,同上,同上,國井建設(株),寒河江市大字日田360,"1,800,909",,,,,,,,,,,,,,,,
,,,10,同上,同上,設楽建設興業(株),西村山郡西川町大字睦合字沢田2419,"1,756,788",,,,,,,,,,,,,,,,
,,,11,同上,同上,石川建設産業(株),東村山郡中山町大字長崎字中原1245-1,"1,732,325",,,,,,,,,,,,,,,,
,,,12,同上,同上,日立建機日本(株)山形営業所,東根市大字若木字七窪5581-2,"1,705,000",,,,,,,,,,,,,,,,
,,,13,同上,同上,犬飼建設(株),寒河江市大字西根字高畑1780,"1,619,398",,,,,,,,,,,,,,,,
,,,14,同上,同上,(株)横川建設,西置賜郡小国町大字杉沢111,"1,595,000",,,,,,,,,,,,,,,,
,,,15,同上,同上,タカラ重機(株),山形市大字船町1080,"1,513,089",,,,,,,,,,,,,,,,
,,,16,同上,同上,大貫建設(株),尾花沢市新町4-4-10,"1,494,312",,,,,,,,,,,,,,,,
,,,17,同上,同上,神室工業(株),最上郡最上町大字平岡1750-1,"1,481,920",,,,,,,,,,,,,,,,
,,,18,同上,同上,澤出林業,米沢市遠山町270-35,"1,393,392",,,,,,,,,,,,,,,,
,,,19,同上,同上,(株)三ツ柳道路,西置賜郡飯豊町大字萩生4400-1,"1,388,400",,,,,,,,,,,,,,,,
,,,20,同上,同上,(株)石橋組,西村山郡西川町大字大井沢2538-2,"1,286,792",,,,,,,,,,,,,,,,
,,,21,同上,同上,(株)最上振興,最上郡最上町向町735,"1,265,000",,,,,,,,,,,,,,,,
,,,22,同上,同上,はながさ建設(株),尾花沢市大字芦沢1207,"1,237,610",,,,,,,,,,,,,,,,
,,,23,同上,同上,尾花沢市役所,尾花沢市若葉町1-2-3,"1,223,697",,,,,,,,,,,,,,,,
,,,24,同上,同上,KS工業,南陽市三間通31-7,"1,221,000",,,,,,,,,,,,,,,,
,,,25,同上,同上,(株)柿崎工務所,新庄市若葉町5-5,"1,203,290",,,,,,,,,,,,,,,,
,,,26,同上,同上,(株)ネクスコメンテナンス東北山形事業所,山形市千石91,"1,145,837",,,,,,,,,,,,,,,,
,,,27,合計,合計,,,,,,,,,,,,,,,,,,,
