file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(有)テクノ工機,仙台市若林区かすみ町7-18,"135,311",売上代,,,,,,,,,,,,,,,
,,,2,〃,〃,佐々木電気工業(株),仙台市宮城野区岩切3丁目24-50,"68,200",売上代,,,,,,,,,,,,,,,
,,,3,〃,〃,信号電材(株),仙台市青葉区花京院1-1-6-403,"631,070",売上代,,,,,,,,,,,,,,,
,,,4,〃,〃,東研工業(株),仙台市若林区卸町東5丁目3番15号,"233,200",売上代,,,,,,,,,,,,,,,
,,,5,〃,〃,東北ゴム(株),仙台市宮城野区港1-1-12,"1,969,660",売上代,,,,,,,,,,,,,,,
,,,6,〃,〃,東海住宅(株),仙台市青葉区木町通2-4-36-1F,"610,500",売上代,,,,,,,,,,,,,,,
,,,7,〃,〃,(株)TTKエンジ福島,福島市小倉寺宇中ノ内1-5,"22,550",売上代,,,,,,,,,,,,,,,
,,,8,〃,〃,昌和輸送機東北(株),仙台市青葉区堤通雨宮2-8,"9,130",売上代,,,,,,,,,,,,,,,
,,,9,〃,〃,(株)チバデン,仙台市宮城野区出花西15-1-501,"5,390",売上代,,,,,,,,,,,,,,,
,,,10,〃,〃,(有)信誠電気,福島県伊達郡梁川町舟生字西31,"71,500",売上代,,,,,,,,,,,,,,,
,,,11,〃,〃,(株)新開トランスポートシステムズ,仙台市宮城野区扇町5-1-1,"803,000",売上代,,,,,,,,,,,,,,,
,,,12,〃,〃,(有)東北エンジニア,石巻市蛇田宇新下沼118-1,"38,500",売上代,,,,,,,,,,,,,,,
,,,13,〃,〃,(株)中北電機,仙台市若林区卸町東4丁目3-27,"429,220",売上代,,,,,,,,,,,,,,,
,,,14,〃,〃,日本電設工業(株),仙台市青葉区中央4丁目9-23,"8,329,270",売上代,,,,,,,,,,,,,,,
,,,15,〃,〃,(株)一製作所,仙台市若林区六丁の目元町9-26-207,"118,250",売上代,,,,,,,,,,,,,,,
,,,16,〃,〃,(株)日設,東京都港区芝浦1-2-1,"991,650",売上代,,,,,,,,,,,,,,,
,,,17,〃,〃,日本リーテック(株),仙台市宮城野区岩切分台1丁目8-6,"1,069,072",売上代,,,,,,,,,,,,,,,
,,,18,〃,〃,フジ電子興業(株),仙台市太白区鈎取本町1-6-1,"94,600",売上代,,,,,,,,,,,,,,,
,,,19,〃,〃,(株)フジ標産,仙台市太自区鈎取1丁目6-1,"347,471",売上代,,,,,,,,,,,,,,,
,,,20,〃,〃,ニシウミ電機商事(株),仙台市若林区六丁の目元町4-8,"344,300",売上代,,,,,,,,,,,,,,,
,,,21,〃,〃,(株)保工東北,仙台市宮城野区岩切分台1-8-6-1F,"29,150",売上代,,,,,,,,,,,,,,,
,,,22,〃,〃,(株)保安サプライ,仙台市青葉区一番町2丁目2-13,"1,089,770",売上代,,,,,,,,,,,,,,,
,,,23,〃,〃,(株)ふじでん,函館市昭和4-14-16,"187,000",売上代,,,,,,,,,,,,,,,
,,,24,〃,〃,(株)星理科学器械,仙台市青葉区大町2丁目16-7,"14,080",売上代,,,,,,,,,,,,,,,
,,,25,〃,〃,(株)松沢商会,仙台市若林区六丁の目元町13-10,"642,180",売上代,,,,,,,,,,,,,,,
,,,26,〃,〃,(有)宮城電商,仙台市宮城野区岩切3丁目3-6,"23,100",売上代,,,,,,,,,,,,,,,
,,,27,計,計,,,,,,,,,,,,,,,,,,,
