file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,グンダイ株式会社,群馬県伊勢崎市飯島町540-2,127198425,,,,,,,,,,,,,,,,
,,,2,売掛金,売掛金,ホクダイ株式会社,北海度勇払郡安平町早来富岡257,9028690,,,,,,,,,,,,,,,,
,,,3,売掛金,売掛金,新潟ダイカスト,新潟県燕市新興野8-11,7700,,,,,,,,,,,,,,,,
,,,4,売掛金,売掛金,櫻金属工業株式会社,群馬県太田市世良田町3038-1,8470000,,,,,,,,,,,,,,,,
,,,5,未収入金,未収入金,,群馬県伊勢崎市飯島町540-2,729159,,,,,,,,,,,,,,,,
,,,6,未収入金,未収入金,グンダイ(株),群馬県伊勢崎市飯島町540-2,656200,出向料,,,,,,,,,,,,,,,
,,,7,未収入金,未収入金,グンダイ(株),群馬県伊勢崎市飯島町540-2,9057720,旧工場及び駐車場賃貸料収入,,,,,,,,,,,,,,,
,,,8,未収入金,未収入金,アイオー信用金庫,群馬県伊勢崎市中央町20-17,796,確定出資配当金,,,,,,,,,,,,,,,
,,,9,未収入金,未収入金,ニデック株式会社,京都市南区久世殿城町338,8892,確定出資配当金,,,,,,,,,,,,,,,
,,,10,未収入金,未収入金,コカ・コーラボトラーズジャパン株式会社,港区赤坂9-7-1,1728,自販機販売手数料,,,,,,,,,,,,,,,
,,,11,未収入金,未収入金,サントリービバレッジソリューション(株),新宿区西新宿8-17-1洲本も不動産新宿グランドタワー11F,4074,自販機販売手数料,,,,,,,,,,,,,,,
,,,12,未収入金,未収入金,伊勢崎税務署,群馬県伊勢崎市鹿島町562-1,5082,源泉所得税還付金,,,,,,,,,,,,,,,
,,,13,未収入金,未収入金,伊勢崎税務署,群馬県伊勢崎市鹿島町562-1,44500,消費税中間納付還付額,,,,,,,,,,,,,,,
,,,14,計,計,,,155212966,,,,,,,,,,,,,,,,
