file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,(株)協同プレス,岡山市南区新保101-20,10314271,,,,,,,,,,,,,,,,
,,,2,,,(株)ビーヴィオコーポレーション,東京都多摩市愛宕4丁目6番23号第13東菱ビル2階,4795982,,,,,,,,,,,,,,,,
,,,3,,,シンコー印刷(株),岡山市北区島田本町2丁目7-16,3177590,,,,,,,,,,,,,,,,
,,,4,,,(株)DNPグラフィカ,栃木県栃木市西方町本城1062-8,3047854,,,,,,,,,,,,,,,,
,,,5,,,研精堂印刷(株),岡山市北区高柳東町10-30,2680348,,,,,,,,,,,,,,,,
,,,6,,,(株)DNP四国,高松市番町1丁目6-8,1657305,,,,,,,,,,,,,,,,
,,,7,,,協同精版印刷(株),岡山市北区青江一丁目24-19,1623182,,,,,,,,,,,,,,,,
,,,8,,,山陽印刷(株),岡山市北区中山下2-5-5,676872,,,,,,,,,,,,,,,,
,,,9,,,(株)正文社印刷,広島県福山市三吉町南2-1-12,638000,,,,,,,,,,,,,,,,
,,,10,,,アイプリックス(株),岡山市北区大安寺南町2-1-3,631290,,,,,,,,,,,,,,,,
,,,11,,,大日本印刷(株),栃木県栃木市西方町本城1062-8,539000,,,,,,,,,,,,,,,,
,,,12,,,その他,,2854181,,,,,,,,,,,,,,,,
,,,13,,,売掛金計,,32635875,,,,,,,,,,,,,,,,
,,,14,計,計,,,,,,,,,,,,,,,,,,,
