file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金,売掛金,山田(株),神奈川県横浜市金沢区福浦2-17-17,6519350,,,,,,,,,,,,,,,,
,,,2,〃,〃,サンエス工業(株),大阪府枚方市伊加賀緑町3-24,5282413,,,,,,,,,,,,,,,,
,,,3,〃,〃,(株)サンコー,埼玉県川口市本連2-7-34,2844262,,,,,,,,,,,,,,,,
,,,4,〃,〃,(株)フカガワ札幌営業所,北海道札幌市白石区米里一条3-6-2,953044,,,,,,,,,,,,,,,,
,,,5,〃,〃,(株)フカガワ戸田営業所,埼玉県戸田市笹目30-2,3446197,,,,,,,,,,,,,,,,
,,,6,〃,〃,那須電機工業(株)砂町工場,東京都江東区砂町3-5-28,24510055,,,,,,,,,,,,,,,,
,,,7,〃,〃,岡部(株)茨城,茨城県下妻市半谷1100-1,6328885,,,,,,,,,,,,,,,,
,,,8,〃,〃,(株)華陽電機工業所,千葉県市川市塩浜3-17-16,464343,,,,,,,,,,,,,,,,
,,,9,〃,〃,(株)興発スパイラル製作所,北海道広島市大曲工業団地8-3-1,2492235,,,,,,,,,,,,,,,,
,,,10,〃,〃,白河日東工器(株),福島県白河市双石横峰12,5991920,,,,,,,,,,,,,,,,
,,,11,〃,〃,(株)ニッケンビルド,東京都江東区木馬2-17-12SKビル,1185639,,,,,,,,,,,,,,,,
,,,12,〃,〃,石原機械(株)本社,愛知県名古屋市瑞穂塩入町19-12,6567335,,,,,,,,,,,,,,,,
,,,13,〃,〃,(株)メンテックワールド,広島県東広島市八本松飯田2-2-1,2619132,,,,,,,,,,,,,,,,
,,,14,〃,〃,(株)タムラカントウ,千葉県千葉市美浜区新港223-2,1140018,,,,,,,,,,,,,,,,
,,,15,〃,〃,(株)フカガワ東京営業所,神奈川県座間市小松原2-18-20,8568408,,,,,,,,,,,,,,,,
,,,16,〃,〃,(有)三友製作所,埼玉県川口市江戸1-10-29,762520,,,,,,,,,,,,,,,,
,,,17,〃,〃,(株)フカガワ岩槻営業センター,埼玉県さいたま市岩槻区横根188-1,10655487,,,,,,,,,,,,,,,,
,,,18,〃,〃,(株)オーツカ,千葉県船橋市豊富町616番地10,281952,,,,,,,,,,,,,,,,
,,,19,〃,〃,(株)中川製作所,埼玉県川口市弥平3-1-10,15206940,,,,,,,,,,,,,,,,
,,,20,〃,〃,深川機械販売(株)大阪営業所,大阪府東大阪市加納5-14-24,4391339,,,,,,,,,,,,,,,,
,,,21,〃,〃,イースタン精工(株),東京都千代田区神田須田町1-3-14,709500,,,,,,,,,,,,,,,,
,,,22,〃,〃,(株)カンネツカーポレーション広島,広島県広島市安佐南区山本3-6-8,2665523,,,,,,,,,,,,,,,,
,,,23,〃,〃,(株)トーキン,香川県木田郡三木町井戸1285-1,770050,,,,,,,,,,,,,,,,
,,,24,〃,〃,セイキ工業(株),埼玉県所沢市東所沢5-10-1,401500,,,,,,,,,,,,,,,,
,,,25,〃,〃,東レ建材(株),東京都中央区日本橋大伝馬町12-2,2661120,,,,,,,,,,,,,,,,
,,,26,〃,〃,(株)東北フカガワ仙台営業所,宮城県仙台市宮城野区中野1-2-10,3937177,,,,,,,,,,,,,,,,
,,,27,計,計,,,,,,,,,,,,,,,,,,,
