file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,account,account,amount_0,,,,,,,,,,,,,,,,,,
,,,1,株主資本,株主資本,,,,,,,,,,,,,,,,,,,
,,,2,資本金当期首残高及び当期末残高,資本金当期首残高及び当期末残高,"10,000,000",,,,,,,,,,,,,,,,,,
,,,3,利益剰余金,利益剰余金,,,,,,,,,,,,,,,,,,,
,,,4,利益準備金当期首残高及び当期末残高,利益準備金当期首残高及び当期末残高,"100,000",,,,,,,,,,,,,,,,,,
,,,5,その他利益剰余金,その他利益剰余金,,,,,,,,,,,,,,,,,,,
,,,6,繰越利益剰余金当期首残高,繰越利益剰余金当期首残高,"▲337,257,090",,,,,,,,,,,,,,,,,,
,,,7,当期変動額当期純損失,当期変動額当期純損失,"7,323,473",,,,,,,,,,,,,,,,,,
,,,8,当期末残高,当期末残高,"▲344,580,563",,,,,,,,,,,,,,,,,,
,,,9,利益剰余金合計当期首残高,利益剰余金合計当期首残高,"▲337,157,090",,,,,,,,,,,,,,,,,,
,,,10,当期変動額,当期変動額,"▲7,323,473",,,,,,,,,,,,,,,,,,
,,,11,当期末残高,当期末残高,"▲344,480,563",,,,,,,,,,,,,,,,,,
,,,12,株主資本合計当期首残高,株主資本合計当期首残高,"▲327,157,090",,,,,,,,,,,,,,,,,,
,,,13,当期変動額,当期変動額,"▲7,323,473",,,,,,,,,,,,,,,,,,
,,,14,当期末残高,当期末残高,"▲334,480,563",,,,,,,,,,,,,,,,,,
,,,15,純資産合計当期首残高,純資産合計当期首残高,"▲327,157,090",,,,,,,,,,,,,,,,,,
,,,16,当期変動額,当期変動額,"▲7,323,473",,,,,,,,,,,,,,,,,,
,,,17,当期末残高,当期末残高,"▲334,480,563",,,,,,,,,,,,,,,,,,
